id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13744589,Whole House just off Haywood Rd.,63893801,Nick,,28806,35.58019,-82.58514,Entire home/apt,127,2,135,2018-12-28,4.22,1,1
13765762,Tiny House for visitors,8631226,Drew,,28805,35.58598,-82.46148,Entire home/apt,85,2,114,2019-02-10,3.67,3,164
13779774,"Private flat w/ Kitchenette & bathroom, Monthly",4195893,Amy,,28806,35.57154,-82.59257,Entire home/apt,40,29,21,2018-08-17,0.66,1,51
13799325,HGTV UrbanOasis Bungalow of Asheville,53413934,Tyler,,28806,35.57592,-82.59622,Entire home/apt,250,30,10,2017-07-20,0.34,1,0
13815203,The Hunt Hill House,72302182,Jamie,,28801,35.58783,-82.54847,Private room,80,2,40,2018-12-09,2.41,1,86
13819278,Mountain Glow- close to downtown and BR Parkway.,24629376,Mary,,28805,35.60813,-82.48591,Entire home/apt,145,3,54,2019-01-04,1.81,1,364
13877850,Blue Ridge Mountain Home Away from Home,25666840,Meghan,,28806,35.59298,-82.61075,Entire home/apt,120,2,123,2019-02-10,5.43,1,339
13879892,Ridge Cross Cottage,48002359,Kim,,28805,35.59766,-82.48562,Entire home/apt,145,2,100,2019-02-10,3.24,2,365
13893832,Downtown Condo in the Woods,22215473,Kelsey,,28801,35.5894,-82.56126,Entire home/apt,250,1,4,2018-04-29,0.13,2,0
13901952,Historic Grove Park - Apartment #3,46228285,Kathryn,,28801,35.61518,-82.54307,Entire home/apt,125,30,16,2018-09-05,0.52,4,302
13924283,Quiet room in West Asheville,10238283,Paulette,,28806,35.57195,-82.58458,Private room,50,2,42,2019-01-01,1.35,1,335
13941886,Mountains Plants & Art: 2 Miles From Downtown AVL,18050895,Dustin,,28804,35.62267,-82.56945,Private room,51,1,109,2019-02-16,3.46,1,111
13942925,~Cozy Mt. Home~2 bed.~1 bath.~2.5 miles to D/T!~,66825963,Kathryn,,28804,35.62023,-82.57442,Entire home/apt,165,2,116,2019-01-27,3.68,1,341
